,Ligando,Afinidad,Tipo
0,Heptanal,-4.027,ALDEHYDES
1,methylhexanoate,-4.108,ESTERS
2,2-nonanlol,-4.398,ALCOHOLS
3,hexylacetate,-4.435,INSECT ODORS
4,E-2-hexenylacetate,-4.545,INSECT ODORS
5,Thiazole,-2.871,SULPHOREOUS
6,butylanthralite,-5.568,Repellents
7,2-isobutyl3-methoxypyrazine,-4.93,Repellents
8,Cinnamaldehyde,-5.446,ALDEHYDES
9,Geraniol,-5.19,ALCOHOLS
10,Ethyl-vanillin,-5.03,ALDEHYDES
11,Beta-ionone,-5.602,KETONES
12,hexanoicacid,-4.324,ACIDS
13,3-hydroxybutan-2-one,-3.603,KETONES
14,1-dodecanol,-5.137,ALCOHOLS
15,Phenylmethanol,-4.877,ALCOHOLS
16,Quinolin,-6.038,OTHERS
17,Butanal,-3.142,INSECT ODORS
18,methylheptanoate,-4.274,ESTERS
19,isoamylacetate,-4.312,ESTERS
20,Cineol,-5.134,OTHERS
21,Cyclohexanone,-4.603,KETONES
22,butylbutyrate,-4.089,ESTERS
23,butyricacid,-3.459,ACIDS
24,Cumarin,-6.418,LACTONES
25,Estragol,-5.405,OTHERS
26,1-nonanol,-4.314,ALCOHOLS
27,Vanillin,-5.017,ALDEHYDES
28,Diacetyl-C.elegans-,-3.622,Odorants speciﬁc to organisms
29,ethyl-3-hydroxybutyrate,-4.194,INSECT ODORS
30,Benzaldehyde,-4.815,ALDEHYDES
31,Acetaldehyde,-2.716,INSECT ODORS
32,propionicacid,-3.227,ACIDS
33,Menthone,-5.482,KETONES
34,isobutyricacid,-3.648,ACIDS
35,4-octanol,-4.314,ALCOHOLS
36,ethyldecanoate,-4.619,ESTERS
37,heptanoicacid,-4.277,ACIDS
38,DEET,-5.717,Repellents
39,ethylpropionate,-3.353,INSECT ODORS
40,Octanal,-4.32,ALDEHYDES
41,Hexanal,-3.907,ALDEHYDES
42,octanoicacid,-4.395,ACIDS
43,Maltol,-4.624,ALCOHOLS
44,methylbutyrate,-3.532,INSECT ODORS
45,Citralva,-4.651,OTHERS
46,Eucalypton,-5.651,Repellents
47,Linalool,-5.094,INSECT ODORS
48,Lyral,-5.636,ALDEHYDES
49,diethylsuccinate,-4.348,INSECT ODORS
50,ethylanthralite,-5.263,Repellents
51,Menthol,-4.938,ALCOHOLS
52,ethylisobutyrate,-3.914,ESTERS
53,Trans-cinnamicacid,-5.666,ACIDS
54,1-octen-3-ol,-4.436,INSECT ODORS
55,Α-terpineol,-5.218,INSECT ODORS
56,Anisol,-4.641,OTHERS
57,Dodecanal,-4.927,ALDEHYDES
58,dodecanoicacid,-4.864,ACIDS
59,Isobutylacetate,-3.826,INSECT ODORS
60,Safrol,-6.204,OTHERS
61,ethylbutyrate,-3.631,ESTERS
62,Pentanal,-3.528,INSECT ODORS
63,Pyridine,-3.91,OTHERS
64,geranylacetate,-5.16,ESTERS
65,6-methyl-5-hepten-2-one,-4.565,KETONES
66,Trans-anethol,-5.54,OTHERS
67,Gvaiacol,-4.762,ALCOHOLS
68,methylsalicylate,-5.221,ESTERS
69,3-octanone,-4.372,KETONES
70,propylacetate,-3.567,INSECT ODORS
71,Limonene,-5.444,OTHERS
72,2-nonanone,-4.655,KETONES
73,butylacetate,-3.933,INSECT ODORS
74,Benzothiazol,-5.403,SULPHOREOUS
75,ethyloctanoate,-4.62,ESTERS
76,decanoicacid,-4.901,ACIDS
77,1-heptanol,-4.736,ALCOHOLS
78,pentylacetate,-4.115,INSECT ODORS
79,2-dodecanone,-5.072,KETONES
80,2-pentanone,-3.555,INSECT ODORS
81,eugenol-M.musculus-,-5.571,Odorants speciﬁc to organisms
82,3-methylbutanol,-3.582,INSECT ODORS
83,Acetophenone,-5.202,KETONES
84,ethylnonanoate,-4.652,ESTERS
85,2-ethyl1-hexanol,-4.093,ALCOHOLS
86,Undecanal,-4.669,ALDEHYDES
87,3-nonanone,-4.317,KETONES
88,Hedione,-5.159,KETONES
89,Citral,-4.698,ALDEHYDES
90,-Citronellal,-5.082,ALDEHYDES
91,Gamma-decalactone,-5.223,LACTONES
92,Γ-hexalactone,-4.317,INSECT ODORS
93,Para-anisaldehyde,-4.93,ALDEHYDES
94,Beta-thujone,-5.342,Repellents
95,dimethyldisulﬁde,-2.105,SULPHOREOUS
96,ethylhexanoate,-4.194,ESTERS
97,z-2-hexenol,-4.582,INSECT ODORS
98,isovalericacid,-3.859,ACIDS
99,2-isobutyl-3-methoxypyrazine,-4.682,ACIDS
100,methyloctanoate,-4.603,ESTERS
101,2-sec-butyl-3-methoxypyrazine,-4.783,Repellents
102,methyldecanoate,-5.052,ESTERS
103,2-decanone,-4.638,KETONES
104,2-methylpyrazine,-3.733,ACIDS
105,3-octanol,-4.359,ALCOHOLS
106,1-pentanol,-3.521,INSECT ODORS
107,ethylchrysanthemate,-5.325,Repellents
108,1-hexanol,-3.928,ALCOHOLS
109,+Citronellal,-4.576,ALDEHYDES
110,"methylN,N,-dimethylanthranilite",-4.644,Repellents
111,Indole,-5.617,OTHERS
112,Pyrazine,-3.232,ACIDS
113,ethylheptanoate,-4.725,ESTERS
114,2-heptanone,-4.145,KETONES
115,1-butanol,-3.136,INSECT ODORS
116,1-decanol,-4.603,ALCOHOLS
117,Alpha-thujone,-5.511,Repellents
118,ethyl-trans-2-butenoate,-3.649,INSECT ODORS
119,2-pentanol,-3.519,INSECT ODORS
120,Picaridin,-5.541,Repellents
121,Decanal,-5.01,ALDEHYDES
122,Allyl-ionoe,-6.109,Repellents
123,2-octanol,-4.304,ALCOHOLS
124,1-octanol,-4.504,ALCOHOLS
125,Helional-phenobarbital-,-5.878,ALDEHYDES
126,methylp-tert-butylphenylacetate,-5.728,Repellents
127,Camphor,-4.751,KETONES
128,methylnonanoate,-4.714,ESTERS
129,nonanoicacid,-4.906,ACIDS
130,3-methyl-2-buten-1-ol,-3.767,INSECT ODORS
131,2-octanone,-4.251,KETONES
132,Thymol,-4.846,ALCOHOLS
133,Nonanal,-4.327,ALDEHYDES
134,piperonylacetone,-5.121,KETONES
