id;cid;inchi_key;smiles;synonyms_ids;mixture
142;10402;GJWSUKYXUMVMGX-UHFFFAOYSA-N;CC(CCC=C(C)C)CC(=O)O;"[4707, 4087, 4566, 5561, 6311, 613, 823, 5947, 3860, 3833, 4087]";"sum of isomers"
143;26447;NFLGAXVYCFJBMK-BDAKNGLRSA-N;C[C@@H]1CC[C@H](C(=O)C1)C(C)C;"[4721, 3360, 6089, 4042, 4607, 4489, 5017, 5748, 1156, 4275, 6668]";mono
144;8914;ZWRUINPWMLAQRD-UHFFFAOYSA-N;CCCCCCCCCO;"[5772, 4620, 4319, 5083, 4379, 3002, 6934, 4459, 3408, 6702]";mono
145;11964245;YTHRBOFHFYZBRJ-JHJMLUEUSA-N;CC1=CC[C@H](CC1OC(=O)C)C(=C)C;"[548, 947, 4933, 932, 6633, 5793, 6514, 7052, 1200, 3062]";mono
146;8158;FBUKVWPVBMHYJY-UHFFFAOYSA-N;CCCCCCCCC(=O)O;"[676, 1404, 108, 7202, 5602, 4587, 275, 2882, 3809, 4789]";mono
147;18827;VSMOENVRRABVKN-UHFFFAOYSA-N;CCCCCC(C=C)O;"[57, 3747, 6411, 5624, 2903, 6815, 5391, 7074, 6612, 3753]";"sum of isomers"
148;10448;CZUGFKJYCPYHHV-UHFFFAOYSA-N;CSCCCO;"[7293, 750, 3688, 1460, 3914, 1772, 4132, 5002, 7039, 4018]";mono
149;10900;KFUSEUYYWQURPO-UHFFFAOYSA-N;C(=CCl)Cl;"[4109, 3380, 2100, 7096, 6860, 594, 2723, 2577, 2177, 2039]";"sum of isomers"
150;7888;WPFVBOQKRVRMJB-UHFFFAOYSA-N;CC(CCCC(C)(C)O)CC=O;"[4660, 4536, 978, 4449, 5261, 4116, 2803, 3593, 5621, 1354]";"sum of isomers"
151;89440;DNRJTBAOUJJKDY-UHFFFAOYSA-N;CC1CC(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)(C)C;"[1860, 5445, 3367, 2293, 2771, 346, 6941, 2224, 1211, 2071]";"sum of isomers"
152;61585;IKTHMQYJOWTSJO-UHFFFAOYSA-N;CC(=O)C1=C2CCC(C2=CC(=C1)C(C)(C)C)(C)C;"[2859, 3244, 2881, 5293, 6483, 5402, 1324, 5692, 5059, 2004, 5402]";mono
153;92292;MIZGSAALSYARKU-UHFFFAOYSA-N;CC1C(C2=C(C1(C)C)C(=O)CCC2)(C)C;"[2729, 2708, 3996, 77, 4864, 3750, 6179, 7046, 669, 5539, 4864]";"sum of isomers"
154;8843;WTEVQBCEXWBHNA-UHFFFAOYSA-N;CC(=CCCC(=CC=O)C)C;"[619, 5451, 3894, 3861, 2788, 6914, 3666, 5631, 3139, 4016, 3956]";"sum of isomers"
155;101977;QMVPMAAFGQKVCJ-SNVBAGLBSA-N;C[C@H](CCC=C(C)C)CCO;"[7059, 6036, 4287, 6312, 288, 5877, 5265, 1941, 2180, 7220, 6312]";mono
156;1551246;HLCSDJLATUNSSI-JXMROGBWSA-N;CC(=CCC/C(=C/C#N)/C)C;"[5178, 4056, 5779, 667, 4221, 5609, 6867, 1773, 5257, 7183, 5257]";mono
157;32093;QUNOTZOHYZZWKQ-UHFFFAOYSA-N;CC1=NC=CN=C1C(=O)C;"[6797, 3895, 147, 4351, 5566, 1373, 6108, 5209, 6233, 4063, 147]";mono
158;196;WNLRTRBMVRJNCN-UHFFFAOYSA-N;C(CCC(=O)O)CC(=O)O;"[274, 7287, 4617, 3768, 5998, 7280, 6209, 1727, 169, 6515, 7287]";mono
159;1110;KDYFGRWQOYBRFD-UHFFFAOYSA-N;C(CC(=O)O)C(=O)O;"[6242, 1531, 123, 3953, 2795, 6827, 645, 5481, 1586, 5494, 1531]";mono
160;21648;NJGBTKGETPDVIK-UHFFFAOYSA-N;CC(=O)CCC1=CC=C(C=C1)O;"[5249, 5993, 117, 7182, 2198, 943, 3151, 3046, 1897, 1953]";mono
161;8012;WQAQPCDUOCURKW-UHFFFAOYSA-N;CCCCS;"[140, 236, 1478, 1415, 2189, 1321, 1893, 2783, 2275, 5579, 1478]";mono
162;8103;ZSIAUFGUXNUGDI-UHFFFAOYSA-N;CCCCCCO;"[5565, 5022, 4328, 2369, 3424, 445, 2556, 6009, 5598, 3714]";mono
163;8129;BBMCTIGTTCKYKF-UHFFFAOYSA-N;CCCCCCCO;"[149, 1134, 2035, 4552, 2663, 6684, 1666, 938, 7140, 165]";mono
164;6276;AMQJEAYHLZJPGS-UHFFFAOYSA-N;CCCCCO;"[3336, 4975, 3491, 4692, 3429, 1337, 2072, 3117, 6579, 3033]";mono
165;552003;GTGTXZRPJHDASG-UHFFFAOYSA-N;CCCCCCC(C(=O)O)Br;"[1227, 5979, 4014, 4908, 3829, 2361, 170, 2491, 5811, 6741]";"sum of isomers"
166;12013;HZTPKMIMXLTOSK-UHFFFAOYSA-N;CCCCC(C(=O)O)Br;"[2505, 2452, 1480, 4940, 2934, 4521, 1171, 1128, 6152, 6596]";"sum of isomers"
167;6184;JARKCYVAAOWBJS-UHFFFAOYSA-N;CCCCCC=O;"[280, 6901, 6281, 670, 905, 4918, 2496, 446, 5526, 5906]";mono
168;4409936;WLJVXDMOQOGPHL-UHFFFAOYSA-M;C1=CC=C(C=C1)CC(=O)[O-];"[259, 4737, 4372, 3412, 2950, 251, 5379, 2297, 349, 5855, 4737]";mono
169;10106;RFFOTVCVTJUTAD-UHFFFAOYSA-N;CC(C)C12CCC(O1)(CC2)C;"[2685, 3000, 5425, 1474, 3018, 4910, 4797, 5153, 5477, 6323]";mono
170;31245;FTZILAQGHINQQR-UHFFFAOYSA-N;CCCC(C)C=O;"[3191, 7289, 6055, 3142, 3722, 2695, 4842, 5413, 21, 2520]";"sum of isomers"
171;11446;WMFATTFQNRPXBQ-UHFFFAOYSA-N;CCCC(C(=O)O)Br;"[281, 4705, 7042, 2463, 1662, 1175, 7007, 5237, 1109, 5764]";"sum of isomers"
172;439570;ULDHMXUKGWMISQ-SECBINFHSA-N;CC1=CC[C@H](CC1=O)C(=C)C;"[2915, 4313, 5870, 6675, 1912, 6253, 1678, 3031, 4666, 6414, 2595]";mono
173;5352435;ZSKAJFSSXURRGL-PKNBQFBNSA-N;CC(=CCC/C(=C/C(OC)OC)/C)C;"[3531, 6755, 4310, 4746, 5453, 1655, 4027, 2140, 7166, 6157]";mono
174;7519;RDOXTESZEPMUJZ-UHFFFAOYSA-N;COC1=CC=CC=C1;"[959, 4866, 2952, 1620, 6570, 709, 1599, 1284, 5615, 2157]";mono
175;31276;MLFHJEHSLIIPHL-UHFFFAOYSA-N;CC(C)CCOC(=O)C;"[5433, 4085, 5513, 1587, 1428, 2244, 6161, 6972, 6268, 3827]";mono
176;7793;QMVPMAAFGQKVCJ-JTQLQIEISA-N;C[C@@H](CCC=C(C)C)CCO;"[957, 4261, 6074, 243, 1306, 5315, 5613, 2310, 3647, 3691, 2310]";mono
177;31268;RWRDLPDLKQPQOW-UHFFFAOYSA-N;C1CCNC1;"[554, 3414, 4, 2466, 3825, 3758, 3824, 2063, 3650, 757]";mono
178;443157;NEHNMFOYXAPHSD-JTQLQIEISA-N;C[C@@H](CCC=C(C)C)CC=O;"[6696, 6590, 2285, 6688, 1062, 5466, 6249, 3906, 7167, 4724, 1062]";mono
179;75427;NEHNMFOYXAPHSD-SNVBAGLBSA-N;C[C@H](CCC=C(C)C)CC=O;"[5662, 1806, 7231, 2453, 5574, 7060, 6448, 5938, 1690, 4608, 2453]";mono
180;6655;YAQLSKVCTLCIIE-UHFFFAOYSA-N;CCC(C(=O)O)Br;"[2762, 6306, 1602, 4101, 6054, 5181, 516, 4508, 3260, 6106]";"sum of isomers"
181;8314;WLAMNBDJUVNPJU-UHFFFAOYSA-N;CCC(C)C(=O)O;"[5961, 1038, 4963, 3227, 1308, 2030, 5626, 166, 3570, 6625]";"sum of isomers"
182;5366074;POIARNZEYGURDG-FNORWQNLSA-N;C/C=C/C(=O)C1=C(C=CCC1(C)C)C;"[6643, 6069, 6950, 2022, 7268, 6962, 5851, 4962, 6543, 3377, 6759, 6263, 3567, 3377]";mono
183;5283349;JZQKTMZYLHNFPL-BLHCBFLLSA-N;CCCCC/C=C/C=C/C=O;"[495, 7085, 3803, 442, 725, 4588, 672, 1568, 4160, 5782, 495]";mono
184;643731;HZYHMHHBBBSGHB-ODYTWBPASA-N;"CC/C=C\CC/C=C/C=O";"[4855, 489, 150, 4236, 6520, 120, 5323, 416, 5241, 5907, 150]";mono
185;5282108;UZFLPKAIBPNNCA-BQYQJAHWSA-N;CC1=CCCC(C1/C=C/C(=O)C)(C)C;"[7005, 1526, 1902, 328, 1783, 1094, 1667, 536, 5701, 3179, 3179]";mono
186;88369124;HZYHMHHBBBSGHB-KPDBFRNYSA-N;"CC/C=C\CC/C=C\C=O";"[6420, 2728, 4303, 2364, 1208]";mono
187;5362620;CWRKZMLUDFBPAO-SREVYHEPSA-N;"CCCCC/C=C\CCC=O";"[4059, 2626, 640, 3166, 1981, 2002, 855, 3967, 4341, 7012, 3166]";mono
188;5362695;UZFFFFWQKMPLAC-ARJAWSKDSA-N;"CC/C=C\CCCCCC=O";"[605, 2968, 6714, 6373, 684, 524, 4598, 3311, 3448, 2830, 3311]";mono
189;5374527;BGTBFNDXYDYBEY-FNORWQNLSA-N;C/C=C/C(=O)C1=C(CCCC1(C)C)C;"[2142, 628, 5726, 540, 2234, 6519, 4455, 1793, 3201, 992, 992]";mono
190;1201529;KMRMUZKLFIEVAO-IUCAKERBSA-N;CC1([C@H]2CC=C([C@@H]1C2)C=O)C;"[827, 2542, 4217, 2559, 1218, 1017, 1191, 4490, 6667, 3361, 4217]";mono
191;5284507;FQTLCLSUCSAZDY-SDNWHVSQSA-N;CC(=CCC/C(=C/CCC(C)(C=C)O)/C)C;"[3394, 6081, 3233, 4591, 1400, 3639, 4901, 3929, 3595, 7092, 3639]";mono
192;638014;PSQYTAPXSHCGMF-BQYQJAHWSA-N;CC1=C(C(CCC1)(C)C)/C=C/C(=O)C;"[6222, 2700, 6721, 41, 3857, 2926, 886, 3373, 1774, 1552]";mono
193;7780;HIGQPQRQIQDZMP-UHFFFAOYSA-N;CC(=CCCC(=CCOC(=O)C)C)C;"[232, 5645, 2872, 3834, 1117, 4603, 6605, 2765, 3970, 2141]";"sum of isomers"
194;5702654;CWRKZMLUDFBPAO-VOTSOKGWSA-N;CCCCC/C=C/CCC=O;"[62, 1737, 1282, 5020, 1499, 3949, 4072, 624, 4799, 3791, 5020]";mono
195;5367530;QKTZBZWNADPFOL-BNFZFUHLSA-N;CCCCCCC/C=C/C=C/C=O;"[20, 3513, 3523, 3061, 1388, 545, 4039, 961, 3128, 4773]";mono
196;5283339;ZHHYXNZJDGDGPJ-BSWSSELBSA-N;CCCC/C=C/C=C/C=O;"[2250, 4796, 5108, 2418, 156, 800, 2691, 5478, 2145, 5234, 800]";mono
197;5281516;CXENHBSYCFFKJS-VDQVFBMKSA-N;"CC(=CCC/C(=C/C/C=C(\C)/C=C)/C)C";"[6945, 2079, 3149, 4441, 3344, 1704, 347, 6028, 6564, 6789, 3344]";mono
198;2969;GHVNFZFCNZKVNT-UHFFFAOYSA-N;CCCCCCCCCC(=O)O;"[2464, 3798, 3754, 2101, 6744, 5063, 1489, 6548, 3072, 748]";mono
199;2266;BDJRBEYXGGNYIS-UHFFFAOYSA-N;C(CCCC(=O)O)CCCC(=O)O;"[6808, 5533, 2619, 4071, 5597, 4407, 6357, 3889, 2838, 379]";mono
200;7983;XUPYJHCZDLZNFP-UHFFFAOYSA-N;CCCCOC(=O)CCC;"[3310, 4944, 1940, 3071, 2023, 3231, 5318, 6393, 2548, 5761]";mono
201;7895;XNLICIUVMPYHGG-UHFFFAOYSA-N;CCCC(=O)C;"[34, 3063, 3958, 5769, 3921, 1752, 1672, 3637, 4682, 3114]";mono
202;8063;HGBOYTHUEUWSSQ-UHFFFAOYSA-N;CCCCC=O;"[403, 2590, 7131, 6652, 575, 649, 2026, 3036, 1723, 6976]";mono
203;16063567;LSTSBZKIQFOPHA-UHFFFAOYSA-N;CCC(=O)OCC(C)(C)OC(C)C1CCCC(C1)(C)C;"[2162, 3659, 2474, 1887, 285, 6878, 5029, 82, 2955, 6269, 1887]";"sum of isomers"
204;67525;SRONXYPFSAKOGH-UHFFFAOYSA-N;C1CCCCCCCCCCCCCC1;"[1553, 6981, 3878, 460, 2631, 3462, 1611, 4593, 3684, 4950]";mono
205;107327;FFVHXGZXDRXFLQ-UHFFFAOYSA-N;C1CCCCCCCC(CCCCCC1)O;"[256, 3727, 2647, 4187, 5202, 6768, 824, 6964, 2050, 7032]";mono
206;;;CCCCCC(C(C)CO)S;[];"sum of isomers"
207;73918;SXOZDDAFVJANJP-UHFFFAOYSA-N;C1CCCCC(=O)CCCC1;"[4230, 5839, 2958, 7197, 7016, 1255, 5322, 3674, 4067, 2236]";mono
208;13420;UPOSSYJVWXLPTA-UHFFFAOYSA-N;C1CCCCCC(=O)CCCC1;"[180, 1771, 6366, 5226, 681, 6812, 209, 6362, 51, 233]";mono
209;61303;CJPNOLIZCWDHJK-UHFFFAOYSA-N;CCCCCCCCCCCCCC(=O)C;"[206, 5468, 4641, 4871, 3368, 5791, 5888, 4164, 2941, 4994]";mono
210;13162;PQYGSSYFJIJDFK-UHFFFAOYSA-N;CCCCCCCC(=O)CCCCCCC;"[2769, 3359, 6169, 261, 1776, 4466, 7230, 3500, 7120, 6351]";mono
211;6430888;HABNNYNSJFKZFE-UHFFFAOYSA-N;CCC(C(C)CO)S;"[2248, 3644, 2963, 1294, 707, 3532, 2764, 3525, 2377, 1054, 1294]";"sum of isomers"
212;7160826;ALHUZKCOMYUFRB-OAHLLOKOSA-N;C[C@@H]1CCCCCCCCCCCCC(=O)C1;"[3835, 5206, 3421, 2348, 6450, 5515, 4237, 431, 3469, 5344, 3421]";mono
213;7160827;ALHUZKCOMYUFRB-HNNXBMFYSA-N;C[C@H]1CCCCCCCCCCCCC(=O)C1;"[3158, 3023, 2191, 5095, 1046, 2969, 834, 3241]";mono
214;24433;HUIYGGQINIVDNW-UHFFFAOYSA-N;CCCCOC(=O)C1=CC=CC=C1N;"[4068, 2047, 4468, 2091, 7047, 6022, 5277, 5010, 4094, 6360]";mono
215;637511;KJPRLNWUNMBNBZ-QPJJXVBHSA-N;C1=CC=C(C=C1)/C=C/C=O;"[6052, 4916, 724, 1817, 2752, 808, 5472, 6680, 6117, 2163]";mono
216;10890;CFNJLPHOBMVMNS-UHFFFAOYSA-N;CCCCCOC(=O)CCC;"[5587, 6419, 1454, 3101, 6033, 3884, 7025, 4096, 2195, 2443]";mono
217;15717;ZCDYAMJXVAUTIM-UHFFFAOYSA-N;C=CCOC(=O)CC1=CC=CC=C1;"[3423, 6900, 4523, 4290, 2102, 4858, 6441, 2591, 884, 1288, 2102]";mono
218;61052;GTNCESCYZPMXCJ-UHFFFAOYSA-N;CCC(=O)OCCCC1=CC=CC=C1;"[1891, 7008, 1384, 5689, 3951, 6214, 4648, 5164, 2115, 841]";mono
219;31358;BADXJIPKFRBFOT-UHFFFAOYSA-N;CC1(CC(=O)CC(=O)C1)C;"[4912, 5446, 5324, 1010, 2130, 3047, 6492, 2596, 3614, 3278]";mono
220;10558;BDFAOUQQXJIZDG-UHFFFAOYSA-N;CC(C)CS;"[447, 5439, 4778, 7243, 5980, 3877, 46, 1344, 2616, 1943]";mono
221;17429;FEWLNYSYJNLUOO-UHFFFAOYSA-N;C1CCN(CC1)C=O;"[6160, 3804, 2770, 5850, 549, 2920, 6836, 3769, 1483, 1254, 2770]";mono
222;20499;CBJPZHSWLMJQRI-UHFFFAOYSA-N;C1=COC(=C1)CSSCC2=CC=CO2;"[2245, 16, 6949, 5901, 4867, 5823, 5571, 610, 6602, 5201, 6602]";mono
223;1133;CWERGRDVMFNCDR-UHFFFAOYSA-N;C(C(=O)O)S;"[1025, 1908, 2697, 1300, 7121, 3805, 1881, 3389, 4634, 2889, 4634]";mono
224;8144;KZCOBXFFBQJQHH-UHFFFAOYSA-N;CCCCCCCCS;"[1695, 2801, 2417, 5848, 4393, 1571, 4726, 3786, 6951, 4031]";mono
225;62378;YCIXWYOBMVNGTB-UHFFFAOYSA-N;CCCCCC1=C(CCC1=O)C;"[6146, 5231, 929, 1103, 4190, 2168, 2589, 2478, 5914, 6250, 929]";mono
226;14228;PBGWNXWNCSSXCO-UHFFFAOYSA-N;CCCCCCCC(=O)OCCCCCC;"[199, 4873, 5919, 593, 960, 7192, 857, 6738, 1232, 1684]";mono
227;241;UHOVQNZJYSORNB-UHFFFAOYSA-N;C1=CC=CC=C1;"[2550, 253, 1401, 3997, 4841, 6315, 1560, 3540, 4320, 1086, 2550]";mono
228;22227;AZOCECCLWFDTAP-RKDXNWHRSA-N;C[C@@H]1CC[C@H](CC1=O)C(=C)C;"[872, 2386, 4411, 4198, 6245, 1967, 1978, 1619, 5740, 2383, 2383]";mono
229;193087;NTWSIWWJPQHFTO-UHFFFAOYSA-N;CCCC(=CC(=O)O)C;"[6920, 860, 760, 3073, 257]";"sum of isomers"
230;7047;SMWDFEZZVXVKRB-UHFFFAOYSA-N;C1=CC=C2C(=C1)C=CC=N2;"[2493, 890, 3479, 3687, 5113, 4951, 871, 5107, 963, 6690]";mono
231;17356;ODHAQPXNQDBHSH-UHFFFAOYSA-N;C1CCC(CC1)SSC2CCCCC2;"[867, 4750, 5428, 6154, 348, 3116, 2120, 4276, 4978, 5657]";mono
232;1049;JUJWROOIHBZHMG-UHFFFAOYSA-N;C1=CC=NC=C1;"[1464, 3891, 1547, 2666, 1151, 1992, 6837, 3446, 2879, 1179]";mono
233;10887971;NDVASEGYNIMXJL-NXEZZACHSA-N;CC(C)[C@]12CCC(=C)[C@H]1C2;"[262, 5371, 6752, 4159, 930, 4273, 3082, 6778, 5603, 2528]";mono
234;14525;LHXDLQBQYFFVNW-UHFFFAOYSA-N;CC1(C2CCC(C2)(C1=O)C)C;"[3826, 1056, 231, 1734, 4452, 3620, 1192, 5983, 713, 2907]";"sum of isomers"
235;5362588;ARJWAURHQDJJAC-GQCTYLIASA-N;CCC(C)C(=O)/C=C/C;"[6014, 4719, 38, 1379, 6277, 1443, 3162, 4632, 4353, 3415, 3162]";mono
236;5362833;AMXYRHBJZOVHOL-ODYTWBPASA-N;"CC/C=C\CC/C=C/CO";"[6510, 1238, 3896, 3763, 5663, 1585, 413, 1878, 2025, 4447, 4571, 3321, 2112]";mono
237;22716858;DIVCBWJKVSFZKJ-UHFFFAOYSA-M;CCC(C)CCC(=O)[O-];"[7075, 2540, 4293, 631, 5133]";"sum of isomers"
238;529635;TWOGJUHCCNLYPC-UHFFFAOYSA-N;CCC(=O)C(C)S;"[7169, 2237, 2253, 1813, 643, 5467, 1487, 6734, 4698, 4638, 2237]";"sum of isomers"
239;27866;CZCBTSFUTPZVKJ-UHFFFAOYSA-N;CC1CCOC(C1)C=C(C)C;"[7181, 1722, 503, 5824, 4945, 5044, 5932, 5588, 1750, 1347, 5932]";"sum of isomers"
240;179;ROWKJAVDOGWPAT-UHFFFAOYSA-N;CC(C(=O)C)O;"[5041, 164, 4286, 6092, 2300, 4539, 7306, 6046, 2272, 6288, 6092]";"sum of isomers"
241;529481;BGVBGAIWXAXBLP-UHFFFAOYSA-N;CCCCCC(=O)C(C)C(=O)C;"[1749, 6795, 657, 1185, 4384, 5102, 3497, 6924, 2799, 3734, 1749]";"sum of isomers"
242;62237;SZECUQRKLXRGSJ-UHFFFAOYSA-N;CCC(C(=O)C)S;"[5918, 493, 3126, 2710, 3615, 6554, 4022, 2566, 1795, 747, 2710]";"sum of isomers"
243;62089;LEGGANXCVQPIAI-UHFFFAOYSA-N;CCCCC(C)CCC(=O)O;"[377, 335, 6168, 2535, 1963, 1493, 2393, 2615, 6743, 71]";"sum of isomers"
244;12813;IFYYFLINQYPWGJ-UHFFFAOYSA-N;CCCCCCC1CCC(=O)O1;"[6064, 1843, 6383, 3159, 5610, 3917, 6307, 4086, 1725, 5754, 1725]";"sum of isomers"
245;16821;WGPCZPLRVAWXPW-UHFFFAOYSA-N;CCCCCCCCC1CCC(=O)O1;"[3739, 1694, 2731, 398, 4115, 1163, 1745, 1569, 2206, 5708, 398]";"sum of isomers"
246;7710;OALYTRUKMRCXNH-UHFFFAOYSA-N;CCCCCC1CCC(=O)O1;"[4060, 6201, 5527, 5549, 4214, 5169, 6709, 211, 4667, 1580, 4214]";"sum of isomers"
247;7704;IPBFYZQJXZJBFQ-UHFFFAOYSA-N;CCCCC1CCC(=O)O1;"[5677, 6260, 267, 2114, 2138, 2506, 6336, 4563, 5091, 3451, 2506]";"sum of isomers"
248;7714;PHXATPHONSXBIL-UHFFFAOYSA-N;CCCCCCCC1CCC(=O)O1;"[1502, 2802, 1302, 1336, 3091, 1278, 5884, 3582, 805, 2151]";"sum of isomers"
249;11094871;WNVCMFHPRIBNCW-YUMQZZPRSA-N;CCCC[C@H]1[C@H](CC(=O)O1)C;"[3869, 4605, 7261, 4145, 2517, 6503, 389, 269, 2346, 3330]";mono
250;61199;IUFQZPBIRYFPFD-UHFFFAOYSA-N;CCC1C(=C(C(=O)O1)O)C;"[2972, 3155, 124, 991, 5065, 5535, 6942, 3396, 1567, 6995, 3396]";"sum of isomers"
251;12844;QRPLZGZHJABGRS-UHFFFAOYSA-N;CCCCCCCC1CCCC(=O)O1;"[2424, 310, 3985, 5790, 1853, 6119, 2428, 478, 1708, 3049, 2428]";"sum of isomers"
252;12777;FYTRVXSHONWYNE-UHFFFAOYSA-N;CCCC1CCCC(=O)O1;"[5775, 1778, 6910, 3520, 6991, 5056, 5013, 490, 2714, 227, 6991]";"sum of isomers"
253;5283316;NDFKTBCGKNOHPJ-AATRIKPKSA-N;CCCC/C=C/C=O;"[1525, 3561, 4106, 6646, 858, 2840, 7080, 294, 5784, 734]";mono
254;5283356;PANBRUWVURLWGY-MDZDMXLPSA-N;CCCCCCCC/C=C/C=O;"[1713, 1621, 3001, 1014, 6347, 6343, 6751, 5674, 3337, 2864]";mono
255;442482;OGLDWXZKYODSOB-SNVBAGLBSA-N;CC1=CC[C@@H](C=C1)C(C)C;"[6647, 5942, 1730, 1310, 6622, 1986, 2056, 6859, 5469, 4902]";mono
256;22311;XMGQYMWWDOXHJM-UHFFFAOYSA-N;CC1=CCC(CC1)C(=C)C;"[763, 4223, 1445, 572, 5834, 3358, 3074, 3392, 1283, 2258]";"sum of isomers"
257;5354833;BSAIUMLZVGUGKX-FPLPWBNLSA-N;"CCCCCC/C=C\C=O";"[3045, 4670, 5127, 7251, 5196, 6530, 276, 3189, 4673, 1614]";mono
258;6427080;LVBXEMGDVWVTGY-SREVYHEPSA-N;"CCCCC/C=C\C=O";"[6609, 5785, 1974, 604, 1849, 4089, 2977, 3667, 3522, 3236]";mono
259;5363388;NPFVOOAXDOBMCE-PLNGDYQASA-N;"CC/C=C\CCOC(=O)C";"[1839, 1132, 5829, 6963, 6132, 300, 6455, 4755, 4498, 2772, 6963]";mono
260;643941;GXANMBISFKBPEX-ARJAWSKDSA-N;"CC/C=C\CC=O";"[4576, 3672, 3708, 2352, 3848, 4462, 2510, 3779, 5557, 881]";mono
261;5362814;VVGOCOMZRGWHPI-ARJAWSKDSA-N;"CC/C=C\CCC=O";"[839, 5304, 6464, 662, 5661, 7237, 4694, 5592, 2470, 818]";mono
262;6429343;VWYBQOFZVSNDAW-WAYWQWQTSA-N;"CC/C=C\CC(=O)C=C";"[2344, 5789, 3256, 6073, 3040, 5128, 1182, 505, 6999, 6196, 5789]";mono
263;7765;DHKHKXVYLBGOIT-UHFFFAOYSA-N;CCOC(C)OCC;"[3529, 4315, 2820, 438, 4636, 1441, 1984, 531, 4834, 3129]";mono
264;8438;SATCULPHIDQDRE-UHFFFAOYSA-N;C1OC2=C(O1)C=C(C=C2)C=O;"[6504, 6177, 2317, 637, 3558, 3681, 5173, 1767, 1801, 1078]";mono
265;3018619;OQWNKUAZQSLNSR-UHFFFAOYSA-N;CC(C)CCCCCCCCCCC=O;"[6912, 5578, 2579, 3606, 6077, 3146, 3907, 6932, 2541, 365]";mono
266;8815;ZFMSMUAANRJZFM-UHFFFAOYSA-N;COC1=CC=C(C=C1)CC=C;"[4329, 4404, 3836, 4412, 3290, 728, 1058, 790, 221, 821]";mono
267;637563;RUVINXPYWBROJD-ONEGZZNKSA-N;C/C=C/C1=CC=C(C=C1)OC;"[5317, 4122, 4418, 2501, 104, 4117, 3966, 4367, 904, 2850]";mono
268;62385;MMSLOZQEMPDGPI-UHFFFAOYSA-N;CC1=CC=C(C=C1)C(=C)C;"[2561, 1000, 5507, 810, 1484, 6078, 5230, 2842, 5655, 1802]";mono
269;7771;KUFFULVDNCHOFZ-UHFFFAOYSA-N;CC1=CC(=C(C=C1)O)C;"[6239, 5647, 2046, 2279, 3963, 2489, 5295, 2925, 1862, 1413]";mono
270;7041;KLIDCXVFHGNTTM-UHFFFAOYSA-N;COC1=C(C(=CC=C1)OC)O;"[2773, 756, 5018, 4112, 2080, 6841, 3506, 2900, 98, 4040]";mono
271;11335;NXXYKOUNUYWIHA-UHFFFAOYSA-N;CC1=C(C(=CC=C1)C)O;"[5516, 6852, 5092, 6615, 470, 501, 3486, 3391, 7200, 2874]";mono
272;6427135;ZQPCOAKGRYBBMR-UHFFFAOYSA-N;CC1=CCC(CC1)C(C)(C)S;"[6624, 5421, 1510, 1497, 7276, 6561, 660, 2823, 3866, 2645, 1497]";"sum of isomers"
273;169110;FZOZFDAMVVEZSJ-UHFFFAOYSA-N;CC(=O)C1=NCCS1;"[6922, 7185, 2342, 765, 3751, 2971, 4181, 6796, 218, 1196]";mono
274;11952;HEQOJEGTZCTHCF-UHFFFAOYSA-N;C1=CC=C(C=C1)C(=O)CN;"[56, 2215, 974, 3112, 5394, 3596, 721, 461, 6185, 7001]";mono
275;14519;IFNDEOYXGHGERA-UHFFFAOYSA-N;CC1=CC(=C(C=C1)OC)O;"[112, 204, 513, 1869, 141, 1264, 3936, 4630, 555, 1296]";mono
276;47649;SRUTWBWLFKSTIS-UHFFFAOYSA-N;CC1=C(C=CO1)SSC;"[7320, 1356, 1588, 3801, 5071, 4872, 3441, 6911, 3893, 4960, 3801]";mono
277;7284;BYGQBDHUGHBGMD-UHFFFAOYSA-N;CCC(C)C=O;"[7128, 919, 3842, 1125, 2345, 4635, 1309, 5003, 3210, 6559]";"sum of isomers"
278;34286;RUYNUXHHUVUINQ-UHFFFAOYSA-N;CC1=C(C=CO1)S;"[1746, 3246, 1463, 1701, 2598, 1637, 3005, 1154, 5474, 4066]";mono
279;335;QWVGKYWNOKOFNN-UHFFFAOYSA-N;CC1=CC=CC=C1O;"[5215, 3736, 3636, 3668, 5643, 5492, 4013, 4209, 5368, 4877]";mono
280;16800;HSDXVAOHEOSTFZ-UHFFFAOYSA-N;CCCCCC1=CC=CC=N1;"[1261, 2019, 4322, 5994, 5479, 1085, 4097, 4921, 5021, 1523]";mono
281;78126;ZMRFRBHYXOQLDK-UHFFFAOYSA-N;C1=CC=C(C=C1)CCS;"[6103, 370, 7160, 1824, 4325, 6946, 343, 5480, 4386, 5520]";mono
282;6054;WRMNZCZEMHIOCP-UHFFFAOYSA-N;C1=CC=C(C=C1)CCO;"[4730, 632, 1072, 5225, 2904, 5594, 3232, 1461, 6401, 7054]";mono
283;7654;MDHYEMXUFSJLGV-UHFFFAOYSA-N;CC(=O)OCCC1=CC=CC=C1;"[4627, 3262, 5198, 7094, 5306, 5713, 547, 6472, 2861, 1623]";mono
284;529251;OVNCGQSYSSYBPO-UHFFFAOYSA-N;CCC(=O)C1=NCCC1;"[5716, 2573, 1221, 5139, 2439, 2277, 6058, 3578, 774, 4893, 1221]";mono
