,Ligando,Afinidad,Tipo
0,Heptanal,-4.047,ALDEHYDES
1,methylhexanoate,-4.117,ESTERS
2,2-nonanlol,-4.658,ALCOHOLS
3,hexylacetate,-4.38,INSECT ODORS
4,E-2-hexenylacetate,-4.461,INSECT ODORS
5,Thiazole,-2.835,SULPHOREOUS
6,butylanthralite,-5.632,Repellents
7,2-isobutyl3-methoxypyrazine,-4.78,Repellents
8,Cinnamaldehyde,-5.439,ALDEHYDES
9,Geraniol,-5.092,ALCOHOLS
10,Ethyl-vanillin,-5.04,ALDEHYDES
11,Beta-ionone,-5.887,KETONES
12,hexanoicacid,-4.217,ACIDS
13,3-hydroxybutan-2-one,-3.448,KETONES
14,1-dodecanol,-5.337,ALCOHOLS
15,Phenylmethanol,-4.899,ALCOHOLS
16,Quinolin,-6.098,OTHERS
17,Butanal,-3.036,INSECT ODORS
18,methylheptanoate,-4.483,ESTERS
19,isoamylacetate,-4.163,ESTERS
20,Cineol,-5.138,OTHERS
21,Cyclohexanone,-4.568,KETONES
22,butylbutyrate,-4.027,ESTERS
23,butyricacid,-3.402,ACIDS
24,Cumarin,-6.374,LACTONES
25,Estragol,-5.443,OTHERS
26,1-nonanol,-4.602,ALCOHOLS
27,Vanillin,-4.965,ALDEHYDES
28,Diacetyl-C.elegans-,-3.387,Odorants speciﬁc to organisms
29,ethyl-3-hydroxybutyrate,-4.126,INSECT ODORS
30,Benzaldehyde,-4.961,ALDEHYDES
31,Acetaldehyde,-2.282,INSECT ODORS
32,propionicacid,-3.342,ACIDS
33,Menthone,-5.402,KETONES
34,isobutyricacid,-3.72,ACIDS
35,4-octanol,-4.285,ALCOHOLS
36,ethyldecanoate,-5.048,ESTERS
37,heptanoicacid,-4.326,ACIDS
38,DEET,-5.338,Repellents
39,ethylpropionate,-3.52,INSECT ODORS
40,Octanal,-4.26,ALDEHYDES
41,Hexanal,-3.873,ALDEHYDES
42,octanoicacid,-4.728,ACIDS
43,Maltol,-4.606,ALCOHOLS
44,methylbutyrate,-3.595,INSECT ODORS
45,Citralva,-4.579,OTHERS
46,Eucalypton,-5.741,Repellents
47,Linalool,-5.201,INSECT ODORS
48,Lyral,-6.168,ALDEHYDES
49,diethylsuccinate,-4.27,INSECT ODORS
