,Ligando,Afinidad,Tipo
50,ethylanthralite,-5.371,Repellents
51,Menthol,-5.365,ALCOHOLS
52,ethylisobutyrate,-3.626,ESTERS
53,Trans-cinnamicacid,-5.688,ACIDS
54,1-octen-3-ol,-4.397,INSECT ODORS
55,Α-terpineol,-5.22,INSECT ODORS
56,Anisol,-4.697,OTHERS
57,Dodecanal,-4.77,ALDEHYDES
58,dodecanoicacid,-5.307,ACIDS
59,Isobutylacetate,-3.803,INSECT ODORS
60,Safrol,-5.512,OTHERS
61,ethylbutyrate,-3.834,ESTERS
62,Pentanal,-3.325,INSECT ODORS
63,Pyridine,-3.896,OTHERS
64,geranylacetate,-5.431,ESTERS
65,6-methyl-5-hepten-2-one,-4.513,KETONES
66,Trans-anethol,-5.603,OTHERS
67,Gvaiacol,-4.766,ALCOHOLS
68,methylsalicylate,-5.177,ESTERS
69,3-octanone,-4.206,KETONES
70,propylacetate,-3.497,INSECT ODORS
71,Limonene,-5.433,OTHERS
72,2-nonanone,-4.787,KETONES
73,butylacetate,-3.65,INSECT ODORS
74,Benzothiazol,-5.414,SULPHOREOUS
75,ethyloctanoate,-4.42,ESTERS
76,decanoicacid,-4.724,ACIDS
77,1-heptanol,-4.568,ALCOHOLS
78,pentylacetate,-4.042,INSECT ODORS
79,2-dodecanone,-5.225,KETONES
80,2-pentanone,-3.545,INSECT ODORS
81,eugenol-M.musculus-,-5.634,Odorants speciﬁc to organisms
82,3-methylbutanol,-3.611,INSECT ODORS
83,Acetophenone,-5.196,KETONES
84,ethylnonanoate,-4.87,ESTERS
85,2-ethyl1-hexanol,-4.213,ALCOHOLS
86,Undecanal,-5.051,ALDEHYDES
87,3-nonanone,-4.613,KETONES
88,Hedione,-5.2,KETONES
89,Citral,-4.768,ALDEHYDES
90,-Citronellal,-4.813,ALDEHYDES
91,Gamma-decalactone,-5.429,LACTONES
92,Γ-hexalactone,-4.362,INSECT ODORS
93,Para-anisaldehyde,-4.84,ALDEHYDES
94,Beta-thujone,-5.445,Repellents
95,dimethyldisulﬁde,-2.103,SULPHOREOUS
96,ethylhexanoate,-4.297,ESTERS
97,z-2-hexenol,-4.525,INSECT ODORS
98,isovalericacid,-3.843,ACIDS
99,2-isobutyl-3-methoxypyrazine,-4.965,ACIDS
100,methyloctanoate,-4.53,ESTERS
101,2-sec-butyl-3-methoxypyrazine,-4.754,Repellents
102,methyldecanoate,-4.741,ESTERS
103,2-decanone,-4.855,KETONES
104,2-methylpyrazine,-3.778,ACIDS
105,3-octanol,-4.431,ALCOHOLS
106,1-pentanol,-3.571,INSECT ODORS
107,ethylchrysanthemate,-4.848,Repellents
108,1-hexanol,-3.887,ALCOHOLS
109,+Citronellal,-5.174,ALDEHYDES
110,"methylN,N,-dimethylanthranilite",-4.649,Repellents
111,Indole,-5.532,OTHERS
112,Pyrazine,-3.229,ACIDS
113,ethylheptanoate,-4.584,ESTERS
114,2-heptanone,-4.017,KETONES
115,1-butanol,-3.18,INSECT ODORS
116,1-decanol,-4.59,ALCOHOLS
117,Alpha-thujone,-5.063,Repellents
118,ethyl-trans-2-butenoate,-3.872,INSECT ODORS
119,2-pentanol,-3.531,INSECT ODORS
120,Picaridin,-5.601,Repellents
121,Decanal,-4.492,ALDEHYDES
122,Allyl-ionoe,-5.966,Repellents
123,2-octanol,-4.391,ALCOHOLS
124,1-octanol,-4.394,ALCOHOLS
125,Helional-phenobarbital-,-5.833,ALDEHYDES
126,methylp-tert-butylphenylacetate,-5.587,Repellents
127,Camphor,-4.915,KETONES
128,methylnonanoate,-4.751,ESTERS
129,nonanoicacid,-4.504,ACIDS
130,3-methyl-2-buten-1-ol,-3.763,INSECT ODORS
131,2-octanone,-4.194,KETONES
132,Thymol,-5.393,ALCOHOLS
133,Nonanal,-4.312,ALDEHYDES
134,piperonylacetone,-5.955,KETONES
